Wavelength (microns)	Average Spectral Radiance (W/m^2/sr/m)	Black Body Radiance (W/m^2/sr/m)	Emissivity
0.2	6.861559760617434e-22	1.034302044108772e-21	0.6633999999999846
0.21633165829145728	4.1956776732701876e-19	6.201119824519556e-19	0.6766000000000413
0.2326633165829146	1.0372382624859413e-16	1.4750259705430688e-16	0.7032000000000375
0.2489949748743719	1.1952478889124823e-14	1.6726110955954795e-14	0.7145999999999717
0.26532663316582916	7.547765732754517e-13	1.0382071159222461e-12	0.7269999999999796
0.28165829145728644	2.906938296627202e-11	3.921935100684145e-11	0.741200000000029
0.2979899497487437	7.339118362369265e-10	9.79332581047482e-10	0.7493999999999422
0.31432160804020104	1.295285106056886e-08	1.725666275055734e-08	0.7506000000000302
0.3306532663316583	1.7347186260436585e-07	2.2611035271683973e-07	0.7672000000000283
0.3469849246231156	1.7680334996500986e-06	2.2985354909648865e-06	0.7691999999999599
0.3633165829145729	1.4515964374053896e-05	1.876902556769241e-05	0.7734000000000313
0.3796482412060302	9.953355080417005e-05	0.00012669749338615685	0.7856000000000413
0.39597989949748746	0.0005710686918588002	0.0007241550746370822	0.7885999999999961
0.41231155778894474	0.0028091413153466683	0.003575790880023534	0.7856000000000503
0.428643216080402	0.012347802333806576	0.015516213035695746	0.7957999999999936
0.44497487437185934	0.04779637580908426	0.060030615183472934	0.7962000000000518
0.4613065326633166	0.17012491144918912	0.20966836510870387	0.8113999999999371
0.4776381909547739	0.5333736417195953	0.668220548383372	0.7981999999999818
0.49396984924623116	1.5804935244970346	1.9613967789738014	0.8057999999999722
0.5103015075376884	4.334048192684585	5.345397376275887	0.8108000000000178
0.5266331658291458	11.044525754731183	13.621763387679826	0.8108000000000279
0.5429648241206031	26.559450342038996	32.66041606251961	0.8131999999999403
0.5592964824120603	60.244865637642235	74.08370098086174	0.8132000000000739
0.5756281407035176	130.86710644505698	159.74988579719036	0.8191999999999915
0.591959798994975	270.1464128589529	328.8853334050878	0.8214000000000419
0.6082914572864322	531.4766112771166	648.9335913029655	0.8189999999999813
0.6246231155778894	1013.6833172987742	1231.3937284969838	0.8232000000000465
0.6409547738693468	1859.1670786002949	2254.08229704225	0.8247999999999321
0.6572864321608041	3307.2289147623555	3991.3455403844646	0.8285999999999469
0.6736180904522613	5713.282850523091	6853.746221837062	0.8335999999999586
0.6899497487437187	9450.599861509101	11438.634545521547	0.82619999999993
0.706281407035176	15365.070208515646	18592.776147768902	0.8263999999999692
0.7226130653266332	24451.328396932022	29487.8538313232	0.8291999999999602
0.7389447236180906	37755.79611958542	45709.19627068683	0.8259999999999584
0.7552763819095478	57760.958303479754	69357.53878900004	0.8328000000000075
0.771608040201005	85831.63146183372	103163.0185839244	0.8320000000000836
0.7879396984924623	125608.72695204732	150609.98435497205	0.8340000000000042
0.8042713567839197	181628.94193383423	216070.5947345008	0.8406000000000595
0.8206030150753769	254140.85170328317	304944.62647381687	0.8334000000000138
0.8369346733668341	354044.5610569983	423802.44320926216	0.8353999999999545
0.8532663316582916	481257.47491216013	580527.7140074932	0.8289999999999108
0.8695979899497488	658472.564125812	784456.2355561339	0.8393999999999914
0.885929648241206	875926.4532649303	1046507.1126224973	0.8369999999999045
0.9022613065326635	1161372.7808756696	1379302.5901135537	0.8420000000000416
0.9185929648241207	1511147.1394851191	1797273.0012907307	0.8407999999999293
0.9349246231155779	1947454.6606733159	2316743.5887141353	0.8406000000000923
0.9512562814070353	2515556.298409113	2956000.3506570845	0.8509999999999778
0.9675879396984925	3148885.336183992	3735332.5458882567	0.8430000000000514
0.9839195979899498	3963332.1968316995	4677050.031663575	0.8473999999999969
1.0002512562814072	4830154.526592168	5805474.19061559	0.8319999999999995
1.0165829145728644	5961945.481222045	7146901.799594761	0.8342000000000133
1.0329145728643216	7352020.092604616	8729541.786516435	0.8422000000000542
1.0492462311557789	8898544.068969317	10583425.39125654	0.8408000000000774
1.0655778894472363	10780834.056122346	12740290.777737899	0.846200000000042
1.0819095477386935	12844839.66353983	15233443.623743135	0.843199999999975
1.0982412060301507	15325043.982057998	18097595.63303775	0.8468000000000901
1.1145728643216082	18163380.774873063	21368683.264555335	0.8500000000000482
1.1309045226130654	21225800.921127923	25083669.252099656	0.8462000000000476
1.1472361809045226	24747734.657617457	29280329.694296807	0.8451999999999247
1.16356783919598	28686693.60158922	33997029.62975493	0.8438000000000592
1.1798994974874373	33106709.137302715	39272490.07984157	0.842999999999905
1.1962311557788945	38608473.971739456	45145549.54600264	0.8551999999999557
1.2125628140703517	43731057.72382934	51654922.89609173	0.8465999999999628
1.2288944723618092	50436756.91621349	58838960.47154753	0.8572000000000501
1.2452261306532664	56778486.91451322	66735410.10168449	0.8508000000000009
1.2615577889447236	63757405.87571056	75381184.53028603	0.8457999999999288
1.277889447236181	72242977.9136956	84812136.55047776	0.8517999999999841
1.2942211055276382	80156989.98796298	95062843.91361383	0.8432000000000399
1.3105527638190955	90581177.45699844	106166405.83334363	0.8531999999999026
1.326884422110553	100643792.4100569	118154252.65327524	0.8517999999999751
1.3432160804020101	110820928.22461912	131055969.99127087	0.8456000000000036
1.3595477386934673	123627944.90019904	144899138.42030767	0.8531999999999486
1.3758793969849246	136263880.48067147	159709189.49914938	0.8531999999999825
1.392211055276382	149463701.76596928	175509278.72942513	0.8515999999999477
1.4085427135678392	162856724.86052933	192320175.79183704	0.846800000000009
1.4248743718592964	177921601.78915504	210160172.20548797	0.8465999999999473
1.4412060301507539	194275974.3964834	229045006.362264	0.8482000000000482
