Wavelength (microns)	Average Spectral Radiance (W/m^2/sr/m)	Black Body Radiance (W/m^2/sr/m)	Emissivity
0.3	1.0627595616525074e-09	1.4188975392324247e-09	0.7490037386543247
0.34285714285714286	9.313395614634767e-07	1.3074686598484724e-06	0.7123226659761108
0.3857142857142857	0.00017419301230317525	0.0002465470306176238	0.7065305628171841
0.42857142857142855	0.010810257147158487	0.01542045556685395	0.7010335784368771
0.4714285714285714	0.3173504715271983	0.4344497883893843	0.7304652459463661
0.5142857142857142	4.75791330913819	6.755667948705549	0.7042846607121731
0.5571428571428572	47.33011519163931	66.69883863780805	0.7096092849330418
0.6	313.58609870952967	461.9138720208161	0.6788843498845991
0.6428571428571428	1704.963793506739	2413.2124171633313	0.7065121086650464
0.6857142857142857	7233.219904215281	10042.024199159714	0.7202950083331341
0.7285714285714286	24460.08142429945	34690.32207783079	0.7050981357111965
0.7714285714285714	73689.48584621408	102724.53922023723	0.7173503663835067
0.8142857142857143	186564.11149947668	267398.81652887136	0.6976998399666932
0.8571428571428572	425631.65466053935	624279.6665889261	0.6817964406660838
0.8999999999999999	939424.8829107817	1328489.1951924146	0.7071377669539255
0.9428571428571428	1841492.0530754626	2611070.9421636965	0.7052631253096047
0.9857142857142858	3265806.8570883963	4791462.295830969	0.6815887625641887
1.0285714285714285	5577437.988485997	8283457.165861031	0.6733224880394785
1.0714285714285714	9087616.275994895	13593006.962548409	0.6685508439032797
1.1142857142857143	14476011.059292134	21307445.43800006	0.6793874517437632
1.1571428571428573	21430624.24605835	32076929.164273538	0.6681008688926254
1.2	31842845.5329363	46589831.006263696	0.6834720119215552
1.2428571428571429	44533231.173643865	65544390.67340666	0.679436191504826
1.2857142857142858	60339062.64986694	89619100.52726707	0.6732835109353554
1.3285714285714285	79516104.62244852	119444146.736208	0.6657178840086619
1.3714285714285714	101464207.62365702	155575834.23852924	0.6521848853986658
1.4142857142857144	129856126.43769665	198475404.99956557	0.6542681015714813
1.4571428571428573	156537130.57141662	248493105.99583855	0.6299455670775755
1.5	194407062.7658202	305857846.2862557	0.6356124752930893
1.542857142857143	234680835.3485093	370672345.9271838	0.6331220495057132
1.5857142857142859	273676729.711339	442913344.94874865	0.6179012956654247
1.6285714285714286	326133830.3349986	522436211.9367333	0.6242557902446724
1.6714285714285715	380074395.1698343	608983160.6503285	0.6241131442188906
1.7142857142857144	442638700.70625776	702194234.2673657	0.6303650458880296
1.7571428571428571	501353437.70050585	801620232.0911088	0.6254251297932861
1.8	557642975.8886154	906736814.6446627	0.6149998178988109
1.842857142857143	620476030.512084	1016959113.5475391	0.610128787132482
1.8857142857142857	690799164.7527037	1131656278.631949	0.6104319640127882
1.9285714285714286	705608141.5200357	1250165505.6323032	0.564411782552868
1.9714285714285715	780008257.5190417	1371805195.5893135	0.5685998711966957
2.0142857142857142	862872995.4495802	1495886996.536051	0.5768303337402431
2.057142857142857	894903820.8177457	1621726565.888126	0.5518216446850018
2.1	965429627.1519167	1748652966.7155623	0.5520990416784936
2.142857142857143	1003861840.0558034	1876016672.4289508	0.5351028350702581
2.1857142857142855	1076624796.1250372	2003196202.916239	0.5374534928519206
2.2285714285714286	1330006066.714567	2129603451.9121423	0.6245322646901105
2.2714285714285714	1262268868.0610003	2254687791.7641773	0.5598419757590206
2.314285714285714	1297241074.108522	2377939059.29825	0.545531673335375
2.3571428571428568	1311113744.2274287	2498889536.7010474	0.5246785522013584
2.4	1360429714.9301422	2617115045.661071	0.519820371361055
