Wavelength (microns)	Average Spectral Radiance (W/m^2/sr/m)	Black Body Radiance (W/m^2/sr/m)	Emissivity
0.3	9.960402497730652e-10	1.4188975392324247e-09	0.701981800822552
0.34285714285714286	9.249031087752579e-07	1.3074686598484724e-06	0.7073998308169379
0.3857142857142857	0.0001732479837381979	0.0002465470306176238	0.7026975068578
0.42857142857142855	0.010976153083962164	0.01542045556685395	0.7117917519606392
0.4714285714285714	0.30539369752488615	0.4344497883893843	0.7029435982856802
0.5142857142857142	4.746742791090459	6.755667948705549	0.7026311575896771
0.5571428571428572	46.62064455689835	66.69883863780805	0.6989723585752446
0.6	322.5436291810308	461.9138720208161	0.698276559155806
0.6428571428571428	1684.982466090781	2413.2124171633313	0.6982321382513994
0.6857142857142857	7265.560305205144	10042.024199159714	0.7235155145128115
0.7285714285714286	24835.64385153628	34690.32207783079	0.715924279855786
0.7714285714285714	71029.00698670349	102724.53922023723	0.6914512104495323
0.8142857142857143	186562.15116121565	267398.81652887136	0.6976925088263145
0.8571428571428572	441483.8080146422	624279.6665889261	0.7071891519820223
0.8999999999999999	937034.4179039203	1328489.1951924146	0.7053383808426104
0.9428571428571428	1830128.0102050244	2611070.9421636965	0.7009108717239471
0.9857142857142858	3351524.9961466175	4791462.295830969	0.6994785285199395
1.0285714285714285	5743977.976866824	8283457.165861031	0.6934276186686553
1.0714285714285714	9372048.768527398	13593006.962548409	0.6894757572293873
1.1142857142857143	14905037.804058654	21307445.43800006	0.6995225142042019
1.1571428571428573	22225278.365684047	32076929.164273538	0.6928742540117585
1.2	32827305.404744297	46589831.006263696	0.7046023712842161
1.2428571428571429	46625784.29565809	65544390.67340666	0.7113619306949417
1.2857142857142858	63001955.779275194	89619100.52726707	0.7029969661445835
1.3285714285714285	86056152.09974273	119444146.736208	0.7204719063362515
1.3714285714285714	107630837.9553285	155575834.23852924	0.691822341703202
1.4142857142857144	140450086.1906327	198475404.99956557	0.7076447894938929
1.4571428571428573	177071318.32756925	248493105.99583855	0.7125804058746588
1.5	218790152.66447806	305857846.2862557	0.7153328100653333
1.542857142857143	264744130.7983292	370672345.9271838	0.7142268197432147
1.5857142857142859	315626114.7805357	442913344.94874865	0.7126136938074379
1.6285714285714286	369036419.784733	522436211.9367333	0.7063760347252175
1.6714285714285715	421954925.2018304	608983160.6503285	0.692884389038324
1.7142857142857144	504148552.4399713	702194234.2673657	0.7179616804543756
1.7571428571428571	566864542.4380369	801620232.0911088	0.7071484971871437
1.8	653808660.3270112	906736814.6446627	0.721056705504154
1.842857142857143	699549866.7602978	1016959113.5475391	0.6878839644988307
1.8857142857142857	818536231.097841	1131656278.631949	0.7233081692325902
1.9285714285714286	876327000.2068961	1250165505.6323032	0.7009687887394327
1.9714285714285715	983000929.6544749	1371805195.5893135	0.716574724177355
2.0142857142857142	1053605354.8426445	1495886996.536051	0.7043348577014337
2.057142857142857	1127781146.6721919	1621726565.888126	0.6954200359014107
2.1	1246949971.9458098	1748652966.7155623	0.7130917315674792
2.142857142857143	1295213513.7124457	1876016672.4289508	0.6904061849490298
2.1857142857142855	1419932191.0460587	2003196202.916239	0.7088333079799828
2.2285714285714286	1518681718.4558198	2129603451.9121423	0.7131288771588983
2.2714285714285714	1578936738.6432428	2254687791.7641773	0.7002906319938008
2.314285714285714	1689998958.5823293	2377939059.29825	0.7106990197978674
2.3571428571428568	1750886367.3382792	2498889536.7010474	0.7006657723853382
2.4	1848915683.9076474	2617115045.661071	0.7064709237650728
