Wavelength (microns)	Average Spectral Radiance (W/m^2/sr/m)	Black Body Radiance (W/m^2/sr/m)	Emissivity
0.3	8.504135747331442e-21	9.859867533137624e-21	0.8625000000000245
0.3065326633165829	4.66834533752404e-20	5.492170985322447e-20	0.8499999999999928
0.31306532663316583	2.3980918315744784e-19	2.8413410326711293e-19	0.844000000000016
0.31959798994974875	1.173320841483179e-18	1.3715030292030426e-18	0.8554999999999826
0.32613065326633167	5.2041993971204045e-18	6.202859829702346e-18	0.839000000000022
0.3326633165829146	2.19277148460286e-17	2.6387141812309673e-17	0.8309999999999721
0.33919597989949746	8.874334230228899e-17	1.059621997639247e-16	0.8375000000000195
0.3457286432160804	3.3972728251704536e-16	4.0299796265368723e-16	0.8429999999999678
0.3522613065326633	1.2252653144251396e-15	1.4560490961676717e-15	0.8415000000000301
0.3587939698492462	4.300198667371681e-15	5.01188655870824e-15	0.8580000000000022
0.36532663316582914	1.4138652208664042e-14	1.6478615627814216e-14	0.8579999999999663
0.37185929648241206	4.4071657422879024e-14	5.1879526101091874e-14	0.8495000000000285
0.378391959798995	1.298695538916514e-13	1.5675262992353614e-13	0.8285000000000109
0.38492462311557785	3.810337936176829e-13	4.555096158011823e-13	0.8364999999999866
0.3914572864321608	1.0663724837526e-12	1.2755651719528694e-12	0.836000000000001
0.3979899497487437	2.8605420291359243e-12	3.4485135975115898e-12	0.8295000000000176
0.4045226130653266	7.524219175804635e-12	9.01643999497274e-12	0.8344999999999871
0.41105527638190953	1.89079378821161e-11	2.2835673770671496e-11	0.8280000000000045
0.41758793969849245	4.572811195382764e-11	5.610811282678287e-11	0.8149999999999928
0.42412060301507537	1.1022679157678268e-10	1.3393291807628535e-10	0.8229999999999988
0.4306532663316583	2.582959169490665e-10	3.1101254298503974e-10	0.8304999999999709
0.4371859296482412	5.807091592774811e-10	7.034635484887558e-10	0.8255000000000189
0.4437185929648241	1.2529475459559993e-09	1.5516378278092406e-09	0.8075000000000242
0.45025125628140705	2.734795729163671e-09	3.3412287466875193e-09	0.818499999999981
0.4567839195979899	5.6989706430029355e-09	7.0314258396089575e-09	0.8104999999999822
0.4633165829145729	1.1768494887615295e-08	1.4475393465701213e-08	0.8130000000000145
0.46984924623115576	2.3518337656465646e-08	2.917907897824468e-08	0.8060000000000148
0.4763819095477387	4.64605275768884e-08	5.7643334462642384e-08	0.8059999999999764
0.4829145728643216	9.153203924076731e-08	1.1169254330783998e-07	0.8194999999999324
0.4894472361809045	1.7441418810154415e-07	2.1244115481321915e-07	0.820999999999488
0.49597989949748744	3.231027013629886e-07	3.9693206555725664e-07	0.8139999999984423
0.5025125628140703	5.95277770377455e-07	7.290603433962028e-07	0.8164999999923949
0.5090452261306533	1.1071566648862903e-06	1.3172595656039496e-06	0.8404999999970929
0.5155778894472361	1.890555128381877e-06	2.342695326649061e-06	0.8069999999044198
0.5221105527638191	3.4367163272161117e-06	4.103541889870546e-06	0.8374999986473951
0.528643216080402	5.8439093625864966e-06	7.083526511050799e-06	0.824999998725153
0.535175879396985	9.651300176192577e-06	1.2056589951132782e-05	0.8004999933904018
0.5417085427135678	1.6246281879031062e-05	2.0244589566869233e-05	0.8024999383350552
0.5482412060301507	2.7311257749376357e-05	3.3551918426296757e-05	0.8139998852635144
0.5547738693467337	4.450478872427145e-05	5.491030072438791e-05	0.8104998176508811
0.5613065326633166	7.128995232801875e-05	8.87795561001228e-05	0.8029996483381846
0.5678391959798995	0.00011264205186151405	0.00014186666506123036	0.7939994347008663
0.5743718592964824	0.0001842483137372417	0.00022414705387818033	0.8219974813381985
0.5809045226130654	0.0002791877059525019	0.00035029988807962057	0.7969962750574576
0.5874371859296482	0.0004401334548611222	0.0005417047763244435	0.812496906243841
0.5939698492462311	0.0006795204309867862	0.0008291923359982356	0.81949675785261
0.6005025125628141	0.0010236508529635061	0.0012567975070897543	0.8144914731203409
0.607035175879397	0.0014981332783786556	0.001886834536162399	0.7939929281905576
0.6135678391959799	0.0022635753516441915	0.0028066986748939006	0.8064903339613967
0.6201005025125628	0.003318526547979366	0.0041379046093398585	0.8019823706155439
0.6266331658291457	0.004907820488165897	0.006047998487175496	0.8114784582986762
0.6331658291457286	0.007060846483663456	0.008766132426594036	0.805468836204526
0.6396984924623115	0.010246067177416492	0.012603271091986619	0.8129688794785286
0.6462311557788945	0.01443596095864279	0.017978213030718213	0.8029697353111233
0.6527638190954774	0.02032195801058399	0.02545085886786123	0.7984782798920039
0.6592964824120603	0.028467219826208173	0.03576444815051221	0.7959641850590241
0.6658291457286432	0.03969111204340314	0.049898820673574026	0.7954318660766105
0.6723618090452261	0.056170309439170084	0.06913714054445559	0.8124476800288297
0.6788944723618091	0.07563173910091216	0.09514895600570765	0.7948772353989388
0.685427135678392	0.10530019328901034	0.13009295891068395	0.8094226941313925
0.6919597989949748	0.1404878496370088	0.17674335825553714	0.7948691878644187
0.6984924623115578	0.19183675211375226	0.23864439547521807	0.8038602864808256
0.7050251256281407	0.25137881498310893	0.3202982080263078	0.7848274160886403
0.7115577889447235	0.3457122405874412	0.42739199427473173	0.8088879651901342
0.7180904522613065	0.4618056455494591	0.5670712484112007	0.814369705470572
0.7246231155778895	0.5912848979361568	0.7482667198295493	0.7902060619117846
0.7311557788944724	0.7965386993720501	0.9820837071042429	0.811070068274233
0.7376884422110552	1.042560727849547	1.2822633214798747	0.8130628946372075
0.7442211055276382	1.3173160019761772	1.6657264467604553	0.790835736887125
0.7507537688442211	1.7467839448892521	2.1532122787626853	0.8112455804371589
