x_microns,y_int1_microns
-15000.0,500.0
-14993.998799759951,499.47166780942575
-14987.997599519904,498.9224687798803
-14981.996399279855,498.3625801389921
-14975.995199039808,497.82372986681423
-14969.993998799759,497.34754206291115
-14963.992798559711,496.975954305431
-14957.991598319662,496.7437070021534
-14951.990398079617,496.67290473351994
-14945.989197839568,496.7696495876447
-14939.987997599519,497.0227464873053
-14933.986797359472,497.40448050891416
-14927.985597119423,497.8734661934701
-14921.984396879376,498.37956884948983
-14915.983196639327,498.8708978479215
-14909.98199639928,499.3028719090369
-14903.98079615923,499.6493563813047
-14897.979595919183,499.91587251224354
-14891.978395679136,500.1534890677308
-14885.977195439087,500.43462146034426
-14879.97599519904,500.79238970997557
-14873.974794958991,501.22109725921774
-14867.973594718944,501.6898461042944
-14861.972394478895,502.1542315142829
-14855.971194238848,502.56609716834777
-14849.969993998799,502.8813507109882
-14843.96879375875,503.0658397252915
-14837.967593518704,503.09928812420344
-14831.966393278655,502.97729295980577
-14825.965193038608,502.71138165060694
-14819.963992798559,502.3271296268432
-14813.962792558512,501.86033839379087
-14807.961592318463,501.35127401309035
-14801.960392078414,500.83696600208077
-14795.959191838367,500.3415666511469
-14789.957991598318,499.8645628147771
-14783.956791358272,499.3607826445568
-14777.955591118223,498.7822001498321
-14771.954390878176,498.1315741759124
-14765.953190638127,497.44808475943955
-14759.95199039808,496.79043667540634
-14753.950790158031,496.22277724961054
-14747.949589917982,495.8034284365375
-14741.948389677935,495.57643316267604
-14735.947189437886,495.56591593526156
-14729.945989197839,495.77325771645343
-14723.944788957791,496.1770850629419
-14717.943588717744,496.7360735309848
-14711.942388477695,497.39456534687866
-14705.941188237648,498.0910013428545
-14699.939987997599,498.76916715841185
-14693.93878775755,499.392253707078
-14687.937587517503,499.9597319086007
-14681.936387277454,500.5010976418142
-14675.935187037407,500.97419555295755
-14669.93398679736,501.32582335719445
-14663.932786557312,501.52466068561
-14657.931586317263,501.5593273908247
-14651.930386077214,501.4361150120877
-14645.929185837167,501.176403064298
-14639.927985597118,500.813760150951
-14633.926785357071,500.39072990101374
-14627.925585117022,499.955301729725
-14621.924384876975,499.55706642332365
-14615.923184636928,499.2430565477025
-14609.92198439688,499.05327168098995
-14603.920784156831,499.01588847005775
-14597.919583916782,499.1421555109553
-14591.918383676735,499.4209730532717
-14585.917183436686,499.81315752842335
-14579.915983196639,500.2457461790415
-14573.91478295659,500.6253204976669
-14567.913582716543,500.883408461645
-14561.912382476494,500.98499699460365
-14555.911182236447,500.9225669174637
-14549.9099819964,500.7103187903409
-14543.90878175635,500.3787256174046
-14537.907581516303,499.96941241469546
-14531.906381276254,499.53036264089667
-14525.905181036207,499.11145149106807
-14519.903980796158,498.76030605333165
-14513.90278055611,498.5184923285179
-14507.901580316062,498.41802911276864
-14501.900380076015,498.4782287430965
-14495.899179835968,498.702864705902
-14489.897979595919,499.07766610844834
-14483.896779355871,499.568139013292
-14477.895579115822,500.11797237789165
-14471.894378875775,500.6915650503771
-14465.893178635726,501.3104201551126
-14459.891978395679,501.9640212543447
-14453.89077815563,502.6130230119997
-14447.889577915583,503.20411510787534
-14441.888377675536,503.682285839578
-14435.887177435487,504.0004854121918
-14429.88597719544,504.12668891568745
-14423.88477695539,504.0483589900671
-14417.883576715343,503.7743081782473
-14411.882376475294,503.33396096667883
-14405.881176235245,502.77401551370457
-14399.879975995198,502.15250506565235
-14393.878775755149,501.5302590606679
-14387.877575515104,500.9597639202833
-14381.876375275055,500.4714235287232
-14375.875175035007,500.0572193999492
-14369.873974794958,499.65969054592614
-14363.87277455491,499.2292811542634
-14357.871574314862,498.7600027839391
-14351.870374074813,498.2734859632755
