Wavelength [nm]	Absorption Coef. [cm-1]
296.58727	7.32861
296.29322	7.28489
296.28586	7.24117
295.91901	7.19073
298.06435	7.16218
300.60164	7.33317
300.59485	7.29282
300.58805	7.25246
300.58126	7.21211
302.0079	7.17179
302.00149	7.13368
304.88685	7.24358
304.88006	7.20323
305.1487	7.09607
306.66411	7.1573
308.00584	7.03829
309.44969	7.10019
310.60625	7.1585
312.37634	7.02963
313.46444	7.10699
313.45764	7.06664
313.80327	6.99099
316.66419	6.95573
316.32565	7.07342
317.75002	7.01965
317.74323	6.97929
318.08913	6.90532
320.8755	6.85292
320.61237	6.9928
320.60557	6.95245
321.3155	6.91211
322.37104	6.79611
323.43772	6.74625
323.45999	6.87852
325.14863	6.69159
323.42375	6.66331
324.85153	6.62971
324.8436	6.58263
324.8787	6.79112
326.30534	6.75079
327.7033	6.54009
327.69651	6.49974
327.3306	6.45489
327.71161	6.58941
329.11485	6.41009
328.74932	6.36749
330.53319	6.32045
330.52677	6.28234
331.95341	6.24201
331.97341	6.36083
333.37968	6.19945
334.10885	6.27344
334.0896	6.15911
334.79801	6.1098
334.79122	6.06945
336.57603	6.02801
336.20956	5.9798
337.99418	5.93724
339.41969	5.89019
340.8435	5.83305
342.26901	5.786
341.9282	5.89024
343.33371	5.72437
343.32691	5.68402
343.3205	5.64591
345.10616	5.60952
347.60646	5.5608
348.32997	5.60117
348.67305	5.51038
350.4568	5.46267
352.24163	5.42134
355.02794	5.3686
354.74986	5.41971
357.88485	5.30947
359.03658	5.33908
360.45756	5.26513
363.32783	5.28536
363.60387	5.22215
366.90122	5.2249
367.61153	5.18681
367.60549	5.15094
370.46641	5.11568
371.19134	5.16446
373.32677	5.07707
373.33243	5.11069
375.11347	5.04684
378.33587	5.03008
379.04579	4.98975
380.18212	4.92789
382.18033	4.87682
384.74964	4.8123
384.75689	4.85535
386.17636	4.77243
387.60225	4.72762
387.61697	4.81505
389.38725	4.6873
389.02096	4.64022
389.75749	4.75792
390.80625	4.60158
391.87198	4.54611
391.86556	4.508
393.65104	4.47049
395.0774	4.42848
397.59213	4.46552
398.30093	4.41845
398.29413	4.3781
399.00292	4.33104
398.28111	4.30076
399.34855	4.25538
398.97943	4.19149
402.12704	4.15624
401.47237	4.09906
401.863	4.29074
403.28738	4.23696
403.28172	4.20334
405.05115	4.07054
406.14066	4.15631
406.13387	4.11596
406.87097	4.23703
407.57938	4.18773
408.51538	4.07117
408.26817	4.02185
408.26138	3.98149
408.25458	3.94114
408.24779	3.90079
408.95847	3.86493
408.95016	3.81561
409.003	4.12947
409.65858	3.76631
410.36775	3.72148
410.36095	3.68113
411.7876	3.64081
413.21329	3.59488
415.01981	3.68234
416.44645	3.64202
416.36221	3.56736
417.97862	4.65422
417.68287	4.60041
417.67608	4.56006
417.66928	4.51971
417.66249	4.47935
417.6557	4.439
417.6489	4.39865
417.64211	4.3583
417.63532	4.31794
417.62852	4.27759
417.62173	4.23724
417.61494	4.19689
417.60814	4.15653
417.60135	4.11618
417.23563	4.07246
417.86992	4.00858
417.55776	3.85725
417.55002	3.81129
417.54323	3.77094
417.53643	3.73059
419.00686	3.95031
419.00006	3.90996
418.93345	3.51428
418.92533	3.46608
418.91854	3.42573
418.91175	3.38538
418.54565	3.33941
419.91945	3.69477
419.67224	3.64544
419.66545	3.60509
419.65866	3.56474
420.61541	3.28767
419.60431	3.24192
420.31423	3.20158
420.42746	3.87412
420.42066	3.83377
420.41387	3.79342
420.40708	3.75306
422.0253	3.14781
423.52078	3.09067
424.94855	3.05707
428.89069	3.05827
428.16925	3.03023
430.31148	2.98319
432.0222	2.9274
431.75228	3.02694
434.60707	2.95525
436.31843	2.90328
439.17806	2.86029
440.33326	2.91053
443.19258	2.86574
443.18617	2.82763
443.91609	2.90611
446.40705	2.80191
447.48609	2.82547
450.34334	2.76836
453.49067	2.73143
456.78531	2.71805
457.49599	2.68219
460.64426	2.65087
461.78421	2.61054
464.65561	2.63749
465.7222	2.58707
467.86669	2.55349
469.29418	2.5182
472.08049	2.46546
473.23358	2.50315
476.37966	2.45882
476.82622	2.55702
477.53539	2.5122
480.10591	2.45486
481.81777	2.40579
483.52963	2.35673
486.462	2.32013
487.54076	2.34201
490.6848	2.28558
494.69736	2.27938
494.69208	2.24799
498.99465	2.26153
498.98786	2.22117
503.28665	2.21229
503.28099	2.17866
507.58243	2.18547
507.57752	2.15633
511.88122	2.17658
511.87594	2.1452
516.17851	2.15873
516.17323	2.12735
520.47806	2.15433
520.4724	2.1207
524.77384	2.12751
528.71635	2.13095
530.86254	2.10745
534.44556	2.10416
536.59175	2.08066
540.53257	2.07401
545.19321	2.08587
549.13242	2.06969
553.43197	2.06529
553.42669	2.0339
557.01141	2.0407
557.72171	2.0026
559.50888	1.97517
563.45243	1.98478
566.67096	1.94505
567.74972	1.96692
570.8949	1.91722
574.90557	1.89981
574.90029	1.86842
579.20286	1.88196
579.19682	1.84609
583.13933	1.84953
585.28439	1.8193
589.22709	1.82386
589.22181	1.79248
